numberOfProcesses,numberOfStocks,numberOfDays,numberOfRows,elapsedTimes
8,10,30,300,0.5376345217227936
8,50,90,4500,0.6901369988918304
8,100,180,18000,1.0426647812128067
8,200,365,73000,2.1253666132688522
8,400,730,292000,4.768042787909508
