numberOfProcesses,numberOfStocks,numberOfDays,numberOfRows,serialElapsedTimes,parallelElapsedTimes,elapsedTimes
1,10,30,300,0.0,0.0,0.9590950000000475
1,50,90,4500,0.0,0.0,5.10809299999994
1,100,180,18000,0.0,0.0,10.66404399999999
1,200,365,73000,0.0,0.0,22.570517999999993
1,400,730,292000,0.0,0.0,54.6158079999999
