numberOfProcesses,numberOfStocks,numberOfDays,numberOfRows,elapsedTimes
2,10,30,300,0.7824716567993164
2,50,90,4500,1.82819265127182
2,100,180,18000,4.035394176840782
2,200,365,73000,8.716400057077408
2,400,730,292000,19.96751944720745
