symbol,timestamp,open,high,low,close,adjclose,volume,EMA12_S,EMA26_S,RSI_S,MACD_S,EMA12_P,EMA26_P,RSI_P,MACD_P
A,2024-01-02,,,,,,,,,,,,,,
A,2024-01-03,,,,,,,,,,,,,,
A,2024-01-04,,,,,,,,,,,,,,
A,2024-01-05,,,,,,,,,,,,,,
A,2024-01-08,,,,,,,,,,,,,,
A,2024-01-09,,,,,,,,,,,,,,
A,2024-01-10,,,,,,,,,,,,,,
A,2024-01-11,,,,,,,,,,,,,,
A,2024-01-12,,,,,,,,,,,,,,
A,2024-01-16,,,,,,,,,,,,,,
A,2024-01-17,,,,,,,,,,,,,,
A,2024-01-18,,,,,,,,,,,,,,
A,2024-01-19,,,,,,,,,,,,,,
A,2024-01-22,,,,,,,,,,,,,,
A,2024-01-23,,,,,,,,,,,,,,
A,2024-01-24,,,,,,,,,,,,,,
A,2024-01-25,,,,,,,,,,,,,,
A,2024-01-26,,,,,,,,,,,,,,
A,2024-01-29,,,,,,,,,,,,,,
A,2024-01-30,,,,,,,,,,,,,,
A,2024-01-31,,,,,,,,,,,,,,
A,2024-02-01,,,,,,,,,,,,,,
A,2024-02-02,,,,,,,,,,,,,,
A,2024-02-05,,,,,,,,,,,,,,
A,2024-02-06,,,,,,,,,,,,,,
A,2024-02-07,,,,,,,,,,,,,,
A,2024-02-08,,,,,,,,,,,,,,
A,2024-02-09,,,,,,,,,,,,,,
A,2024-02-12,,,,,,,,,,,,,,
A,2024-02-13,,,,,,,,,,,,,,
A,2024-02-14,,,,,,,,,,,,,,
A,2024-02-15,,,,,,,,,,,,,,
A,2024-02-16,,,,,,,,,,,,,,
A,2024-02-20,,,,,,,,,,,,,,
A,2024-02-21,,,,,,,,,,,,,,
A,2024-02-22,,,,,,,,,,,,,,
A,2024-02-23,,,,,,,,,,,,,,
A,2024-02-26,,,,,,,,,,,,,,
A,2024-02-27,,,,,,,,,,,,,,
A,2024-02-28,,,,,,,,,,,,,,
A,2024-02-29,,,,,,,,,,,,,,
A,2024-03-01,,,,,,,,,,,,,,
A,2024-03-04,,,,,,,,,,,,,,
A,2024-03-05,,,,,,,,,,,,,,
A,2024-03-06,,,,,,,,,,,,,,
A,2024-03-07,,,,,,,,,,,,,,
A,2024-03-08,,,,,,,,,,,,,,
A,2024-03-11,,,,,,,,,,,,,,
A,2024-03-12,,,,,,,,,,,,,,
A,2024-03-13,,,,,,,,,,,,,,
A,2024-03-14,,,,,,,,,,,,,,
A,2024-03-15,,,,,,,,,,,,,,
A,2024-03-18,,,,,,,,,,,,,,
A,2024-03-19,,,,,,,,,,,,,,
A,2024-03-20,,,,,,,,,,,,,,
A,2024-03-21,,,,,,,,,,,,,,
A,2024-03-22,,,,,,,,,,,,,,
A,2024-03-25,,,,,,,,,,,,,,
A,2024-03-26,,,,,,,,,,,,,,
A,2024-03-27,,,,,,,,,,,,,,
A,2024-03-28,,,,,,,,,,,,,,
AAL,2024-01-02,,,,,,,,,,,,,,
AAL,2024-01-03,,,,,,,,,,,,,,
AAL,2024-01-04,,,,,,,,,,,,,,
AAL,2024-01-05,,,,,,,,,,,,,,
AAL,2024-01-08,,,,,,,,,,,,,,
AAL,2024-01-09,,,,,,,,,,,,,,
AAL,2024-01-10,,,,,,,,,,,,,,
AAL,2024-01-11,,,,,,,,,,,,,,
