numberOfProcesses,numberOfStocks,numberOfDays,numberOfRows,elapsedTimes
4,10,30,300,0.7347745597362518
4,50,90,4500,1.3335704058408737
4,100,180,18000,2.345489978790283
4,200,365,73000,5.123283699154854
4,400,730,292000,11.300897032022476
