numberOfProcesses,numberOfStocks,numberOfDays,numberOfRows,elapsedTimes
16,10,30,300,0.5938110798597336
16,50,90,4500,0.4189169108867645
16,100,180,18000,0.763252466917038
16,200,365,73000,1.2298962771892548
16,400,730,292000,2.628930225968361
