numberOfProcesses,numberOfStocks,numberOfDays,numberOfRows,elapsedTimes
32,10,30,300,0.5515439808368683
32,50,90,4500,0.3939300775527954
32,100,180,18000,0.5183564573526382
32,200,365,73000,0.9962407499551773
32,400,730,292000,1.4700851440429688
